epoch,epsilon,team_return,team_return_ma,greedy_team_return,agent0_return,agent0_return_ma,agent1_return,agent1_return_ma,agent2_return,agent2_return_ma,agent0_task0_return,agent0_task0_return_ma,agent0_task1_return,agent0_task1_return_ma,agent0_task2_return,agent0_task2_return_ma,agent0_task3_return,agent0_task3_return_ma,agent0_task4_return,agent0_task4_return_ma,duration_ms
67,0.050000,19.3865915195954,19.125028804282206,19.112270256556695,19.557112561891373,19.5786060736415,19.86,19.804,19.355652513241232,19.09408979792804,19.7,19.7,19.4,19.22,19.8,19.8,19.249613645137106,18.339862757520685,19.9,19.9,19.216899930879894
68,0.050000,19.233521212187373,18.459460887806237,19.46346608924841,19.03310221351362,19.33148765206872,19.76,19.8,19.528608455661967,19.570763776158337,19.7,19.7,19.4,19.3,19.8,19.8,19.28308569755549,18.669313460900128,19.9,19.9,19.43447230133902
69,0.050000,19.361409880761713,18.34809286768925,18.52971975530019,19.201903373935213,19.55393417074994,19.68,19.764,18.822551267138937,19.3409766001352,19.7,19.7,19.4,19.4,19.8,19.8,19.063150791573875,19.308006339849907,19.9,19.9,19.462880839343594
70,0.050000,19.012162796972394,18.866173611891536,19.056301560465386,19.359987173676483,19.540340658901417,19.09835771969443,18.576,19.5649523867131,19.47249375659623,19.147767131192502,19.460119484206718,19,19.32,19.8,19.8,19.265851019353537,19.320543319508687,19.9,19.9,18.09241470931676
71,0.050000,19.09208962549087,19.236832590045797,19.427245537018052,19.50374740059662,19.402142494172857,19.78,18.58,18.842150628493236,19.05003334137147,19.7,19.05514977632796,19.4,19.32,19.8,19.8,19.47309747965685,19.332824715940667,19.9,19.9,19.44220595091684
72,0.050000,19.56122098162827,19.502385204984986,18.133333,19.1,18.585322067414094,19.86,18.58,19.149370545125272,18.150891280803314,19.7,19.53718874926548,19,19.24,19.8,19.8,18.70880557676256,19.00797705725207,19.9,19.9,19.043341225685246
73,0.050000,19.027562734124977,19.386603474703897,18.133333,19.66,19.242328276784313,19.86,18.6,19.14084791705983,19.499888657638753,19.7,18.296230322819312,19.4,19.24,19.8,19.8,19.5,19.2198485556151,19.9,19.9,19.249336802051094
74,0.050000,19.533333,19.47834811391232,19.38157555460072,19.56,19.07106148343117,19.86,18.636,19.18,19.548715795645823,19.7,19.078925912491478,18.9,19.14,19.8,19.8,19.5,18.620357634788547,19.9,19.9,19.230722152456046
75,0.050000,19.125438444933593,19.529362546433397,19.4435494283417,19.66,18.572,19.476430017629838,18.656,19.66,19.438923686202113,19.7,19.7,19.4,19.22,19.8,19.8,19.5,19.37199314607866,19.9,19.9,19.21109119151304
76,0.050000,19.113710954838297,18.146667,19.145644215003422,19.56,19.508,19.371703186152363,19.410710072708646,19.58,18.029224711483916,19.7,19.7,19.4,19.22,19.3,19.7,19.5,19.02,19.9,19.9,19.46085303847718
